habitantes,area_m2,neveras,lavadoras,televisores,computadores,horas_aire_dia,horas_iluminacion_dia,consumo_mensual_kwh
4,34.88,2,0,0,1,0.00,2.72,139.03
1,59.12,2,1,1,1,0.00,2.59,140.23
6,82.54,1,2,3,0,0.00,2.24,209.92
1,30.00,1,0,0,0,4.27,5.05,168.54
5,98.79,1,1,4,1,0.00,5.47,174.34
3,87.87,1,0,1,4,0.00,2.14,163.21
6,113.69,2,0,0,4,0.00,3.62,210.81
3,36.25,1,0,1,0,0.00,8.10,158.38
2,62.10,2,0,4,4,4.35,5.37,329.73
6,147.05,2,0,2,1,1.99,5.74,331.54
6,118.76,1,0,0,0,0.00,8.12,161.26
5,108.39,1,0,0,0,0.00,6.61,156.31
2,53.91,1,1,0,2,0.00,2.32,79.77
4,92.86,2,0,4,3,3.50,5.43,337.01
3,87.44,2,2,0,0,0.00,6.24,166.55
2,41.86,1,2,4,2,0.00,4.91,188.83
3,47.66,2,1,1,0,0.00,6.35,143.68
6,110.73,2,0,1,1,1.44,5.08,255.54
5,102.39,2,2,0,3,0.00,4.27,195.70
3,78.13,1,0,2,3,3.57,5.95,245.95
5,96.57,1,0,3,4,0.00,4.53,220.77
2,86.01,1,0,4,4,0.00,5.53,178.95
3,76.27,2,1,3,1,0.00,3.43,177.50
2,67.58,2,2,3,2,0.00,7.40,190.95
6,111.17,1,2,1,0,0.00,6.14,215.97
3,75.16,1,1,3,1,0.00,8.74,186.36
1,39.94,1,2,4,0,0.00,8.31,153.80
3,88.07,2,0,1,3,0.00,2.71,172.25
5,94.92,1,2,4,1,0.00,4.89,154.47
4,85.35,1,0,2,3,0.00,3.67,144.13
2,66.77,1,1,4,1,0.00,6.35,189.87
6,128.41,1,1,4,4,0.00,2.30,238.18
1,87.19,2,2,2,0,0.00,6.99,168.66
1,30.00,2,2,2,2,0.00,2.99,172.18
6,110.84,1,0,0,0,0.00,2.37,164.29
6,156.47,2,1,2,3,2.94,2.77,328.50
5,120.21,1,2,0,0,0.00,7.14,207.68
5,77.59,2,1,2,2,0.00,4.17,214.64
2,71.72,2,0,2,0,0.00,5.03,132.51
6,118.34,2,0,3,0,0.00,6.15,185.60
5,127.83,2,2,3,0,1.83,3.56,271.42
1,30.74,2,1,4,1,4.91,4.84,300.14
1,39.41,2,1,4,4,2.31,5.52,292.46
6,113.77,1,0,0,3,0.00,6.07,190.18
6,108.42,2,1,4,4,0.00,3.76,274.76
1,54.32,1,2,0,1,0.00,8.43,119.72
3,30.00,2,1,2,4,0.00,4.64,181.22
3,49.18,1,1,3,3,4.94,8.07,331.12
2,65.27,2,0,3,3,0.00,4.60,193.75
1,57.69,2,1,0,3,0.00,8.08,188.32
6,122.43,1,0,1,2,0.00,7.62,227.35
6,135.89,2,2,4,4,0.00,3.26,326.79
1,31.81,1,1,0,3,0.00,7.25,158.96
2,50.14,1,1,3,4,0.00,5.99,206.57
6,106.81,2,0,0,1,0.00,4.84,196.21
1,45.05,1,1,3,2,0.00,4.97,98.71
3,69.86,1,2,0,2,2.92,6.61,307.66
2,86.98,2,1,3,4,0.00,2.89,218.41
1,75.32,2,2,4,4,0.00,2.09,188.62
2,56.49,1,0,4,3,0.00,6.33,194.35
2,66.54,1,2,1,2,0.00,6.25,151.73
1,80.48,1,1,0,2,0.00,7.74,122.68
3,78.57,2,1,2,1,0.00,4.13,206.33
1,41.27,1,0,1,0,0.00,3.37,115.83
2,68.02,1,0,3,0,5.79,2.55,244.01
1,30.00,2,0,2,1,6.81,6.65,351.20
5,94.50,2,1,3,1,0.00,4.98,217.94
3,92.43,1,2,0,4,4.54,3.04,257.93
3,91.78,2,1,2,0,0.00,8.75,215.03
1,74.34,1,0,2,4,5.05,3.26,278.22
4,72.88,1,2,2,3,0.00,6.57,164.38
6,100.14,2,1,1,0,0.00,7.80,215.89
6,113.92,1,1,4,2,0.00,4.32,226.46
3,73.67,1,1,3,2,0.00,7.42,157.61
4,119.40,2,0,0,1,4.52,4.51,253.82
5,71.12,2,0,2,0,0.00,6.72,216.66
3,91.90,2,0,2,1,3.06,6.29,262.33
3,98.23,2,0,3,4,0.00,4.74,228.68
6,96.19,2,0,1,1,0.00,3.30,240.95
3,91.09,1,0,0,2,0.00,7.62,153.77
5,113.68,2,0,2,4,0.00,8.97,265.59
5,91.02,2,0,4,0,0.00,7.04,187.48
2,77.50,1,1,2,3,0.00,6.22,198.48
6,111.73,1,0,3,1,0.00,4.77,174.10
5,139.01,1,2,4,1,0.00,5.91,209.46
5,108.10,1,2,2,1,0.00,3.45,175.11
2,51.17,2,2,4,2,0.00,4.11,220.39
5,104.06,1,1,2,4,0.00,3.50,202.69
6,138.64,1,2,1,1,0.00,5.61,204.14
6,113.70,1,0,1,0,0.00,8.32,168.57
1,73.17,1,0,4,0,0.00,8.24,135.61
4,75.53,2,1,3,3,0.00,7.20,245.83
4,100.06,1,2,4,2,0.00,8.64,203.59
6,142.32,1,1,3,1,1.41,6.10,230.17
5,118.19,2,0,2,4,0.00,6.98,245.68
1,32.43,1,1,1,2,0.00,6.60,122.09
6,79.03,1,1,1,3,0.00,4.71,228.96
4,85.74,2,2,2,0,0.00,5.93,208.85
4,99.72,2,2,4,2,0.00,3.07,223.09
4,55.31,2,2,4,0,0.00,6.68,206.58
3,35.47,2,0,0,4,5.99,3.90,330.06
1,75.70,1,0,4,1,4.23,7.57,240.03
1,66.75,1,2,2,3,0.00,5.33,173.09
6,105.59,2,2,2,3,0.00,5.20,281.62
2,60.62,2,1,4,2,0.00,2.87,172.45
1,65.78,1,2,0,4,0.00,4.74,163.73
2,72.62,2,2,1,3,0.00,3.90,192.77
2,58.96,2,1,0,2,4.28,2.41,281.47
2,56.72,1,2,1,1,3.22,7.05,258.97
1,49.29,1,0,4,2,0.00,8.17,174.96
3,93.43,2,2,2,1,2.52,2.35,228.68
6,105.12,1,1,1,4,0.00,4.92,254.99
3,60.17,1,0,2,4,0.00,8.66,178.95
1,32.95,2,0,2,2,0.00,6.71,161.98
2,101.31,2,2,3,1,4.57,3.34,314.53
3,81.03,1,0,3,2,0.00,6.47,157.58
2,30.00,2,2,3,3,0.00,8.63,247.86
4,83.36,1,0,0,4,6.70,5.87,323.40
1,68.91,2,1,0,0,0.00,5.97,149.64
3,81.81,1,0,1,1,0.00,2.20,95.30
5,92.95,2,0,0,1,0.00,5.68,214.46
6,120.63,2,1,4,4,0.00,7.86,262.35
5,93.20,2,2,3,4,0.00,2.37,264.62
2,54.51,1,0,4,0,0.00,8.99,152.53
3,97.23,2,0,1,1,0.00,2.84,174.98
6,123.17,1,1,1,2,0.00,3.66,183.34
6,113.45,2,0,0,2,0.00,4.67,200.48
5,94.94,1,0,1,0,2.89,4.90,186.23
3,55.47,1,2,4,2,0.00,5.13,210.23
5,117.65,2,1,2,2,0.00,8.67,257.50
3,48.33,1,2,1,2,3.20,5.44,228.59
3,111.33,1,0,3,0,1.45,3.62,144.95
2,49.38,2,0,1,4,1.35,6.87,191.63
5,97.47,1,2,0,0,1.47,3.33,226.75
3,84.35,1,1,0,4,2.99,6.97,247.08
3,71.27,2,0,0,2,0.00,2.82,148.61
1,59.69,2,0,0,3,0.00,2.16,125.64
1,73.69,2,2,3,4,3.76,4.09,277.98
1,30.25,1,2,0,0,0.00,6.57,110.47
5,104.11,1,1,0,1,3.80,3.41,238.02
4,72.07,2,1,1,0,1.79,2.59,242.70
4,110.43,1,2,4,4,0.00,5.70,198.28
5,111.37,1,2,1,1,0.00,5.16,133.40
2,63.34,2,2,0,4,0.00,3.10,219.42
1,41.87,1,0,4,3,0.00,3.24,107.17
1,39.33,2,2,3,2,0.00,8.02,176.72
2,30.00,1,1,1,4,0.00,7.74,155.05
4,55.84,2,2,2,1,0.00,4.49,180.77
3,59.33,2,2,2,2,0.00,4.21,185.37
5,97.68,2,1,1,1,6.09,3.41,377.40
1,52.88,1,1,1,4,0.00,5.20,136.50
1,41.54,2,2,0,0,4.80,7.63,289.06
6,119.44,1,0,1,0,0.00,5.51,143.38
5,88.60,2,1,1,2,0.00,2.78,248.99
2,68.59,2,1,0,0,0.00,6.18,94.74
2,71.53,2,0,1,1,5.59,7.14,328.87
2,81.54,2,2,4,4,0.00,7.71,207.57
3,39.94,1,2,3,0,0.00,2.58,130.95
3,92.24,2,1,2,1,0.00,8.30,195.47
3,81.62,1,1,1,4,0.00,3.95,171.03
3,67.13,2,2,4,1,0.00,6.33,186.21
6,114.18,1,1,3,4,0.00,2.27,199.59
1,44.32,1,2,1,0,0.00,5.19,126.62
4,78.46,1,0,4,3,3.07,2.43,278.35
1,30.00,1,2,3,3,0.00,8.39,158.19
6,119.49,2,0,3,1,2.72,6.62,335.18
3,103.88,2,1,0,0,0.00,6.59,197.73
2,86.07,1,2,2,4,4.21,6.51,282.57
5,92.03,1,1,1,4,0.00,4.04,181.50
2,44.02,1,2,3,2,0.00,4.50,173.80
5,140.84,2,2,3,1,0.00,3.89,228.06
1,46.78,2,2,2,3,1.02,8.30,257.49
1,30.00,1,0,4,4,4.67,3.33,244.38
6,127.62,1,1,3,2,0.00,8.37,202.79
