horas_estudio_dia,asistencia_pct,nota_previa,tareas_entregadas_pct,horas_sueno_dia,participacion_pct,ausencias_semestre,tutorias_mes,nota_final
0.72,57.02,4.16,82.65,5.91,65.59,7,3,4.22
0.96,74.29,4.70,58.13,8.12,39.50,7,2,4.26
2.85,77.40,3.33,93.98,7.46,96.50,2,2,4.65
2.36,77.48,3.27,77.40,6.55,81.44,2,4,4.37
5.09,55.03,4.04,98.75,5.36,97.31,9,2,4.70
4.41,82.99,4.34,91.63,5.08,45.37,10,3,4.91
3.48,59.21,3.82,75.49,5.58,60.90,10,4,4.19
1.73,56.53,4.64,89.73,7.47,40.47,6,3,4.28
4.70,68.07,3.36,90.59,7.34,54.46,8,0,4.46
2.94,83.45,3.45,97.71,7.06,85.14,4,3,4.78
1.78,71.96,3.45,86.51,8.00,68.12,9,2,4.15
1.71,82.75,2.80,84.56,8.45,42.56,10,2,4.11
2.28,75.70,2.34,89.40,8.53,70.37,8,1,3.89
2.59,55.73,2.64,96.71,6.10,81.24,0,3,3.80
3.08,91.91,4.08,72.60,5.61,99.39,0,2,4.89
5.11,62.29,2.55,97.51,8.23,92.79,7,0,4.47
1.03,80.86,2.95,85.60,5.84,71.19,6,2,3.88
5.07,65.80,2.54,53.97,5.44,74.14,0,0,3.82
4.07,69.02,4.61,73.75,6.05,93.01,7,4,5.00
4.86,65.19,4.50,74.79,8.12,61.09,1,3,5.00
0.98,69.80,2.95,64.39,6.24,70.03,6,0,3.48
5.24,76.66,4.31,50.14,8.00,35.60,6,4,4.84
0.59,76.00,4.49,61.81,6.64,63.23,8,4,4.08
2.81,99.39,4.20,71.89,5.64,68.32,4,4,5.00
0.66,67.14,4.57,51.62,6.94,74.27,9,4,4.09
5.48,71.14,3.03,63.03,7.62,78.36,0,3,4.67
1.54,65.41,4.27,63.69,8.82,43.11,3,4,4.20
0.98,83.22,2.68,96.09,8.27,43.63,5,3,3.80
2.12,77.24,2.93,81.08,7.22,53.45,2,2,4.32
1.65,91.99,2.36,88.43,5.40,41.00,3,4,3.69
0.91,85.28,3.89,83.47,6.13,78.04,2,4,4.38
