area_m2,habitaciones,banos,estrato,antiguedad_anos,parqueaderos,distancia_centro_km,piso,precio_cop
45.52,1,1,4,19,0,9.29,8,93220000
53.98,3,1,4,18,0,11.73,6,251720000
118.88,3,2,4,2,1,12.27,1,615700000
102.08,3,2,3,40,1,15.47,13,476330000
196.06,4,5,3,1,1,15.3,20,873240000
172.38,5,3,5,11,1,6.68,4,865890000
140.4,4,3,4,35,1,14.2,17,738850000
80.42,3,2,4,29,0,9.65,1,525650000
182.61,5,3,5,30,2,12.02,20,892340000
121.89,3,3,4,26,1,9.89,2,740480000
82.15,2,1,4,25,0,10.18,9,447190000
79.74,2,1,6,1,1,5.51,6,577580000
99.21,2,1,2,24,0,22.55,13,360670000
109.83,3,2,4,36,1,11.79,15,529730000
126.64,3,2,4,26,1,10.4,2,700290000
196.54,6,3,5,20,1,8.44,1,1041730000
56.35,2,1,3,22,0,13.43,20,414020000
195.29,6,3,4,0,2,16.37,10,892020000
160.8,4,3,4,36,1,7.67,1,680930000
187.91,5,3,5,27,2,15.81,15,997800000
54.36,1,1,4,16,0,14.14,15,265340000
200.94,6,3,2,32,2,11.21,16,800390000
41.08,1,2,2,33,0,18.99,13,141400000
117.46,3,2,3,15,1,5.28,13,587150000
43.63,1,1,5,37,0,5.75,9,193960000
209.35,5,3,4,2,1,13.74,4,1123240000
73.93,3,1,3,33,0,18.44,4,275610000
54.63,2,1,3,6,0,11.89,15,310570000
93.83,3,2,3,40,0,8.93,7,413500000
77.57,2,2,4,30,0,8.96,15,405920000
52.09,2,2,3,27,0,12.77,17,245350000
46.25,1,1,3,8,0,19.53,9,338320000
51.68,2,1,3,22,0,13.75,1,352810000
117.24,3,2,2,20,1,14.12,1,479970000
64.73,1,1,4,32,0,8.38,8,391040000
199.73,5,2,4,12,1,7.23,18,887670000
103.96,3,2,3,15,1,16.12,6,527510000
172.07,4,3,4,29,1,11.17,4,680440000
116.61,3,2,4,7,1,6.73,19,558930000
96.51,2,2,2,40,0,18.53,15,343540000
155.25,4,3,3,25,0,13.33,11,531320000
183.74,6,3,4,39,0,11.01,8,996200000
170.66,4,3,2,21,1,17.17,13,617700000
178.26,5,3,3,23,2,6.28,18,772970000
195.01,5,4,3,32,2,10.01,10,984380000
140.68,3,2,4,18,1,10.47,5,719480000
199.34,6,3,3,35,1,9.43,8,852290000
60.31,3,1,6,1,0,7.14,10,294780000
147.28,4,3,2,0,2,11.36,2,609730000
152.27,4,3,2,7,2,16.89,3,779660000
53.61,2,1,4,1,1,19.01,2,213810000
199.09,4,3,2,3,1,10.96,7,931690000
54.66,1,1,3,2,0,8.91,15,225980000
85.0,2,2,5,37,0,18.49,6,518750000
66.16,2,1,5,5,1,15.09,12,436210000
199.54,5,3,4,32,1,8.76,14,1040090000
60.48,2,1,4,28,0,17.54,4,203830000
112.57,3,2,4,24,1,16.03,2,554010000
140.03,4,3,4,4,1,9.91,11,609890000
121.51,2,1,3,34,0,10.25,10,385410000
199.63,5,3,5,21,1,11.46,1,1028210000
67.3,1,2,3,27,0,12.53,8,329850000
193.61,5,3,3,27,1,7.15,8,815140000
178.29,4,3,4,22,1,13.37,8,890870000
179.11,5,3,3,10,2,13.02,12,924190000
118.38,4,3,5,35,1,13.33,9,575160000
168.22,5,3,3,24,1,9.14,15,798020000
111.12,3,1,4,8,0,11.85,12,586980000
43.58,1,1,4,29,1,4.3,8,332350000
162.93,5,3,3,3,2,13.74,7,902330000
152.08,4,2,2,5,1,13.19,13,765320000
70.7,2,1,3,39,0,12.43,2,341460000
49.92,1,1,4,16,0,4.31,9,439760000
135.46,4,3,2,2,1,9.62,1,448550000
179.22,6,3,5,0,1,17.68,12,1024730000
59.78,1,1,4,3,0,13.35,11,521370000
180.69,5,4,4,32,1,7.64,6,952520000
76.68,1,2,5,17,1,6.71,11,555510000
116.95,3,2,4,37,1,6.79,2,438950000
104.41,2,2,3,38,1,17.16,4,370600000
184.47,5,4,3,31,1,12.56,12,846670000
143.03,4,2,5,35,0,8.58,9,719740000
200.57,4,3,3,11,2,12.2,11,973290000
75.32,1,1,2,7,0,14.51,13,241710000
90.2,3,2,4,35,0,10.5,11,500400000
49.0,1,2,4,23,0,7.76,9,162390000
185.27,5,3,3,31,1,13.2,9,783800000
201.03,6,3,4,1,1,16.41,8,987750000
89.76,3,1,4,38,1,13.9,12,601910000
205.68,6,3,2,13,1,15.64,10,770950000
202.65,5,3,4,35,2,7.77,1,968300000
130.92,4,3,5,22,1,11.11,1,762570000
153.4,4,3,3,21,1,7.8,13,713130000
159.66,5,2,5,13,1,3.56,17,822810000
111.73,3,2,6,22,1,16.02,18,876630000
178.55,5,3,3,13,1,18.01,8,912120000
85.88,1,2,3,6,0,12.02,9,500730000
39.75,2,1,2,23,0,17.97,16,80280000
130.72,3,3,2,29,2,8.93,10,523410000
168.75,5,3,4,38,2,10.97,2,829880000
62.92,2,1,4,11,0,18.26,9,333300000
156.61,4,2,2,1,0,14.26,13,657430000
82.98,2,2,3,37,0,10.93,9,313950000
68.57,2,1,3,27,0,8.73,20,381320000
53.37,1,2,3,33,0,7.86,11,262600000
97.81,2,1,3,11,1,12.29,10,459080000
108.39,4,3,5,40,0,12.05,11,624380000
149.19,4,3,4,9,1,9.19,19,807330000
103.13,3,2,2,8,1,10.75,16,697630000
97.5,2,1,3,16,0,12.5,8,403800000
57.25,1,1,4,30,0,12.22,18,304550000
109.17,3,2,3,11,1,12.43,10,559890000
43.73,1,1,4,18,1,6.07,14,352360000
138.8,4,1,6,31,1,5.83,4,911090000
90.08,3,2,3,33,0,6.46,1,373140000
143.37,3,3,3,32,1,18.78,5,480810000
190.44,5,3,2,26,1,10.13,10,819670000
125.86,3,3,2,22,0,19.07,6,515150000
144.69,4,3,2,34,0,10.43,12,569320000
84.44,3,2,4,3,0,11.61,2,429760000
54.91,2,2,3,31,0,20.18,16,182300000
108.79,3,2,3,40,1,15.1,7,471990000
199.34,6,3,5,9,2,15.27,16,1260440000
160.53,4,3,3,16,2,16.57,12,936540000
51.0,2,2,3,12,0,14.63,18,266450000
113.6,3,2,6,7,0,5.7,17,801560000
201.46,6,3,4,30,3,11.44,17,923850000
71.91,2,1,4,7,0,11.66,3,522430000
167.97,4,3,5,12,1,8.65,3,858190000
199.33,6,4,5,30,1,8.27,13,1190250000
73.06,1,1,3,29,0,10.9,20,272260000
55.91,1,1,3,14,0,10.38,16,295920000
102.04,3,2,3,7,1,11.78,8,693080000
41.38,1,2,3,8,0,12.94,2,242500000
138.99,4,3,4,38,0,10.47,13,621530000
89.13,2,1,5,8,0,10.19,9,419550000
133.62,4,2,4,39,1,9.84,7,621710000
65.58,2,2,3,3,0,15.51,8,357060000
194.36,5,4,3,4,2,13.08,8,1078470000
83.66,3,1,5,21,2,8.29,11,341300000
149.18,4,2,4,21,1,13.51,15,745830000
119.69,4,2,3,26,1,11.64,7,613270000
142.1,4,3,2,0,1,13.2,1,587880000
83.39,2,3,4,20,1,7.59,15,527600000
173.86,4,2,3,23,1,11.27,15,941590000
73.74,2,2,5,16,1,8.87,5,386830000
100.77,3,2,3,0,0,16.9,16,411820000
198.51,5,3,5,31,2,7.73,15,1188100000
205.63,6,3,3,3,1,26.71,13,857200000
