comentario;sentimiento;base
Así que no hay manera de que lo conecte aquí en los Estados Unidos a menos que vaya por un convertidor.;0;amazon
Buen caso, excelente valor.;1;amazon
Ideal para la quijada.;1;amazon
Atado al cargador para conversaciones que duran más de 45 minutos. ¡¡¡MAYOR PROBLEMAS !!;0;amazon
El micrófono es genial.;1;amazon
Tengo que mover el enchufe para alinearlo correctamente y obtener un volumen decente.;0;amazon
Si tiene varias docenas o varios cientos de contactos, imagine la diversión de enviarlos uno por uno.;0;amazon
Si eres propietario de Razr ... debes tener esto!;1;amazon
No hace falta decir que desperdicié mi dinero.;0;amazon
¡Qué desperdicio de dinero y tiempo!.;0;amazon
Y la calidad del sonido es genial.;1;amazon
Quedó muy impresionado al pasar de la batería original a la batería extendida.;1;amazon
Si los dos estaban separados por apenas 5 pies, empecé a notar un exceso de sonido estático y distorsionado en el auricular.;0;amazon
Muy buena calidad aunque;1;amazon
"El diseño es muy extraño, ya que el ""clip"" de la oreja no es muy cómodo en absoluto.";0;amazon
Muy recomendable para cualquiera que tenga un teléfono azul.;1;amazon
Aconsejo a todos que no se dejen engañar!;0;amazon
¡Hasta ahora tan bueno!.;1;amazon
¡Funciona genial!.;1;amazon
Encaja en su lugar de manera que usted se pregunte cuánto durará ese mecanismo.;0;amazon
Entré en el sitio web de Motorola y seguí todas las instrucciones, pero no pude volver a sincronizar.;0;amazon
¡Compré esto para usar con mi Kindle Fire y me encantó!;1;amazon
Los comerciales son los más engañosos.;0;amazon
Todavía tengo que ejecutar esta nueva batería por debajo de dos barras y eso es tres días sin cargar.;1;amazon
Lo compré para mi madre y ella tuvo un problema con la batería.;0;amazon
Gran combinación de Pocket PC / teléfono.;1;amazon
He tenido este teléfono durante 7 meses y puedo decir que es el mejor teléfono móvil que he tenido.;1;amazon
No pensé que las instrucciones proporcionadas fueran útiles para mí.;0;amazon
La gente no podía escucharme hablar y tuve que sacar el auricular y hablar por teléfono.;0;amazon
No se hace cargo.;0;amazon
Este es un pequeño teléfono simple de usar, pero la rotura es inaceptable.;0;amazon
Este producto es ideal para personas como yo, cuyas orejas son muy sensibles.;1;amazon
Es inutilizable en un automóvil en movimiento a velocidad de autopista.;0;amazon
Me quedan dos años más en este contrato y odio este teléfono.;0;amazon
Se incluyen el cargador para el automóvil y el cargador de CA para asegurarse de que nunca se quede sin jugo. Muy recomendable;1;amazon
Necesita al menos 3 minutos para acceder a su directorio telefónico desde el momento en que lo enciende por primera vez. La vida de la batería es corta.;0;amazon
Se ha mantenido muy bien.;1;amazon
Mal rendimiento de tiempo de conversación.;0;amazon
El caso es genial y funciona bien con el 680.;1;amazon
Producto sin valor.;0;amazon
Tiene una gran cámara de 2MP, y las fotos son agradables y claras con una gran calidad de imagen.;1;amazon
No me impresionó este producto.;0;amazon
Bonito auricular a un precio justo.;1;amazon
Solo escucho basura para audio.;0;amazon
Excelente auricular bluetooth.;1;amazon
Tiene todas las características que quiero.;1;amazon
¿Quién en su sano juicio va a comprar esta batería?;0;amazon
DESPUÉS DE ARGUAR CON VERIZON CON RESPECTO A LAS LLAMADAS CAÍDAS, RETORNAMOS LOS TELÉFONOS DESPUÉS DE DOS DÍAS.;0;amazon
Este caso parece bien hecho.;1;amazon
Decepcionado con la batería.;0;amazon
No es lo suficientemente fuerte y no se enciende como debería.;0;amazon
Buena protección y no hace que el teléfono sea demasiado voluminoso.;1;amazon
Un teclado utilizable en realidad convierte un PDA en una máquina útil en el mundo real en lugar de ser un simple artilugio.;1;amazon
Este teléfono es bastante resistente y nunca he tenido grandes problemas con él.;1;amazon
¡Me encanta esta cosa!;1;amazon
Todo está bien y es razonable para el precio, es decir,;1;amazon
MUY DECEPCIONADO.;0;amazon
¡Incluso dejé caer este teléfono en una transmisión y lo sumergieron durante 15 segundos y aún funciona muy bien!;1;amazon
He estado muy contento con el 510 y no he recibido ninguna queja de nadie con respecto a mi calidad de sonido.;1;amazon
Los botones de encendido y apagado son malos.;0;amazon
Esencialmente puedes olvidarte del soporte técnico de Microsoft.;0;amazon
