Edad,Antiguedad_anios,Salario_mensual_COP,Horas_semanales,Distancia_trabajo_km,Satisfaccion_laboral,Balance_vida_trabajo,Anios_sin_ascenso,Trabajo_remoto,Horas_extra
39,4,3558900.55,43.97,44.00,3,1,2,0,0
45,4,3846442.44,47.98,13.82,4,5,0,1,1
34,13,4569842.15,63.78,12.27,4,5,8,0,0
21,2,1400000.00,47.80,29.63,1,5,2,1,1
63,18,4274175.30,49.11,28.82,5,2,8,1,1
27,9,4783280.32,38.69,27.35,5,5,8,0,1
64,28,5231012.81,47.49,38.69,2,3,4,1,0
49,25,5134345.84,50.81,42.07,1,2,10,1,1
56,12,2325647.27,53.77,51.79,1,3,9,1,1
63,12,5030468.22,37.63,64.00,2,3,4,0,0
40,20,3616631.86,41.01,25.37,2,4,8,0,1
27,9,1676988.42,40.32,21.78,4,5,9,1,1
47,0,2068506.99,50.23,44.99,2,4,0,1,0
32,2,1400000.00,33.56,14.67,2,5,2,0,0
57,16,2713843.64,39.78,28.54,2,1,10,0,0
32,0,1575419.11,42.76,12.76,4,2,0,0,0
40,15,3386857.46,44.60,46.59,1,4,1,1,1
21,3,2345310.30,44.82,35.00,3,4,3,1,0
52,12,3844352.78,42.21,49.83,3,1,0,0,1
61,11,2562405.13,34.15,55.54,4,1,1,1,0
34,15,3234440.99,35.79,3.03,4,4,4,0,0
18,0,1736693.38,41.82,34.15,1,3,0,0,1
42,23,6047738.16,56.14,61.03,3,4,3,0,1
40,22,4082368.30,40.42,34.90,4,1,0,1,1
45,26,5159467.45,40.79,2.76,2,4,2,0,0
26,8,1525339.76,53.69,52.99,2,1,2,1,0
43,25,6060292.91,37.86,46.00,1,1,6,0,0
44,17,4258061.00,35.97,63.75,3,3,4,1,0
27,8,4076792.31,36.19,26.97,2,1,8,0,1
61,19,3420485.20,43.39,41.82,2,1,10,1,1
50,2,2459819.77,55.30,32.68,5,3,2,1,0
48,13,5905443.57,46.85,32.14,2,5,10,1,1
41,16,3251930.15,54.83,34.74,4,5,2,0,1
18,0,2871910.61,56.27,55.03,1,5,0,0,0
24,4,2967785.88,46.23,5.90,5,1,4,1,0
61,4,2747355.95,33.49,21.34,4,5,4,0,0
45,1,1429244.38,41.13,28.81,2,3,0,1,1
30,0,1400626.93,40.96,7.62,5,5,0,1,1
23,5,3915411.60,34.98,19.79,4,2,1,1,0
41,23,6874023.40,33.42,40.54,4,5,3,1,0
26,8,2022104.23,51.75,46.86,5,3,2,1,1
22,4,2136594.27,39.71,6.50,2,5,2,1,0
45,27,7525077.75,43.48,53.76,4,1,10,0,1
29,3,3393968.68,51.21,48.33,3,2,3,1,1
61,12,2644200.58,41.77,8.96,5,5,7,1,0
32,6,3227462.65,46.36,40.22,4,3,6,1,1
29,10,1439835.98,38.50,28.24,5,2,4,1,0
39,17,6203389.76,37.42,49.97,4,3,0,1,0
18,0,1400000.00,31.70,12.79,5,5,0,1,1
19,1,2616759.89,41.32,14.24,3,3,1,0,1
