Edad,Antiguedad_anios,Salario_mensual_COP,Horas_semanales,Distancia_trabajo_km,Satisfaccion_laboral,Balance_vida_trabajo,Anios_sin_ascenso,Trabajo_remoto,Horas_extra,Renuncia
50,7,3671886.43,43.97,44.86,3,3,0,0,0,1
25,6,3223787.18,38.49,2.46,3,2,6,0,0,0
52,21,5838929.54,46.50,57.24,1,2,3,0,0,1
34,16,3335062.80,58.91,30.15,5,2,6,0,0,1
34,0,1633510.55,47.95,21.02,2,4,2,1,1,1
42,24,5736049.39,47.61,3.00,2,4,4,0,0,0
47,16,6380817.91,47.44,21.80,5,2,3,1,0,0
34,5,3588409.96,43.34,19.03,1,2,5,1,0,0
36,18,5550836.83,39.70,1.83,4,5,7,1,1,0
26,8,4033048.81,37.10,28.09,2,1,9,0,1,1
38,7,1400000.00,42.23,34.75,2,3,6,1,1,1
50,22,4427239.63,33.02,5.06,3,1,5,0,1,0
27,1,2251161.50,35.37,24.02,4,4,1,1,0,0
26,8,1400000.00,33.67,18.74,5,1,2,0,0,0
53,26,6127610.67,30.00,31.24,1,3,8,0,1,1
41,15,3651288.91,43.96,6.82,2,2,8,1,0,0
55,14,2193074.77,35.28,28.23,2,5,2,0,1,0
43,10,4404084.99,42.21,38.81,3,2,3,1,1,1
20,2,1504096.71,32.15,30.67,4,1,3,0,1,1
51,27,3015065.61,34.43,21.64,5,3,1,1,1,0
59,30,5051507.38,38.24,15.95,3,3,4,1,1,0
27,9,3862356.36,40.31,31.12,4,1,3,0,1,1
20,2,1400000.00,42.10,23.07,5,5,10,0,0,0
46,13,3158642.89,35.40,50.09,2,3,9,0,1,1
21,3,2226942.92,40.66,3.27,3,1,7,1,0,0
62,18,4392342.67,41.96,33.76,5,2,7,0,0,0
28,10,2567765.78,43.18,24.39,5,1,9,1,1,1
49,9,3308725.98,44.08,35.95,3,5,9,0,1,1
33,13,4731132.91,30.38,57.67,2,4,8,1,0,0
29,11,2504205.61,45.16,11.18,2,4,6,1,1,0
