battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
620,0,1.2,1,2,0,8,0.5,178,2,5,420,760,420,9,4,8,1,1,0
850,1,1.8,0,5,1,16,0.7,165,4,8,600,980,780,11,5,10,1,1,1
1020,0,2.0,1,3,1,24,0.4,150,4,10,720,1280,1200,12,6,12,1,1,1
1180,1,1.5,1,6,1,32,0.6,142,6,12,800,1400,1600,13,7,14,1,1,1
1350,1,2.2,0,8,1,40,0.3,138,6,15,900,1500,2050,14,8,15,1,1,1
1500,1,2.5,1,10,1,48,0.5,125,8,18,1080,1750,2700,15,9,17,1,1,1
1820,1,2.8,1,12,1,64,0.4,112,8,20,1300,1900,3600,17,10,19,1,1,1
710,0,0.8,0,1,0,6,0.9,195,1,3,300,620,350,7,2,5,0,0,0
940,1,1.3,1,4,0,20,0.7,172,3,7,550,1050,950,10,4,9,1,0,1
1100,0,2.4,1,7,1,28,0.5,146,6,14,760,1350,1450,13,5,11,1,1,0
1250,1,1.9,0,5,1,35,0.6,155,4,11,850,1450,1900,14,7,13,1,0,1
1430,0,2.6,1,9,1,50,0.2,128,8,17,1000,1650,2500,16,8,16,1,1,1
1650,1,3.0,1,14,1,60,0.3,105,8,20,1450,1980,3900,18,12,20,1,1,1
560,0,1.0,0,0,0,4,1.0,198,1,2,180,550,280,6,1,4,0,0,0
780,1,1.6,1,3,1,12,0.8,184,2,6,480,850,620,9,3,7,1,1,0
990,0,2.1,0,6,1,30,0.4,160,5,13,700,1200,1300,12,6,12,1,1,1
1210,1,2.3,1,8,0,38,0.5,148,6,15,880,1420,1800,13,7,15,1,0,1
1380,1,2.7,1,11,1,45,0.3,132,7,18,1050,1600,2350,15,9,16,1,1,1
1570,0,2.9,1,13,1,55,0.2,118,8,19,1250,1820,3100,17,10,18,1,1,1
1950,1,2.5,0,16,1,62,0.4,98,8,20,1550,1950,3950,19,14,20,1,1,1
