,loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
0,Fully Paid,24000.0,Verified,10+ years,RENT,10.65,5000.0,credit_card, 36 months,B
1,Charged Off,30000.0,Source Verified,< 1 year,RENT,15.27,2500.0,car, 60 months,C
2,Fully Paid,12252.0,Not Verified,10+ years,RENT,15.96,2400.0,small_business, 36 months,C
3,Fully Paid,49200.0,Source Verified,10+ years,RENT,13.49,10000.0,other, 36 months,C
4,Fully Paid,80000.0,Source Verified,1 year,RENT,12.69,3000.0,other, 60 months,B
5,Fully Paid,36000.0,Source Verified,3 years,RENT,7.9,5000.0,wedding, 36 months,A
6,Fully Paid,47004.0,Not Verified,8 years,RENT,15.96,7000.0,debt_consolidation, 60 months,C
7,Fully Paid,48000.0,Source Verified,9 years,RENT,18.64,3000.0,car, 36 months,E
8,Charged Off,40000.0,Source Verified,4 years,OWN,21.28,5600.0,small_business, 60 months,F
9,Charged Off,15000.0,Verified,< 1 year,RENT,12.69,5375.0,other, 60 months,B
10,Fully Paid,72000.0,Not Verified,5 years,OWN,14.65,6500.0,debt_consolidation, 60 months,C
11,Fully Paid,75000.0,Source Verified,10+ years,OWN,12.69,12000.0,debt_consolidation, 36 months,B
12,Charged Off,30000.0,Source Verified,< 1 year,RENT,13.49,9000.0,debt_consolidation, 36 months,C
13,Fully Paid,15000.0,Source Verified,3 years,RENT,9.91,3000.0,credit_card, 36 months,B
14,Charged Off,100000.0,Source Verified,3 years,RENT,10.65,10000.0,other, 36 months,B
15,Fully Paid,28000.0,Not Verified,< 1 year,RENT,16.29,1000.0,debt_consolidation, 36 months,D
16,Fully Paid,42000.0,Not Verified,4 years,RENT,15.27,10000.0,home_improvement, 36 months,C
17,Fully Paid,110000.0,Not Verified,10+ years,MORTGAGE,6.03,3600.0,major_purchase, 36 months,A
18,Fully Paid,84000.0,Verified,1 year,MORTGAGE,11.71,6000.0,medical, 36 months,B
19,Fully Paid,77385.19,Not Verified,6 years,RENT,6.03,9200.0,debt_consolidation, 36 months,A
20,Fully Paid,43370.0,Verified,3 years,RENT,15.27,20250.0,debt_consolidation, 60 months,C
21,Charged Off,105000.0,Verified,10+ years,RENT,12.42,21000.0,debt_consolidation, 36 months,B
22,Fully Paid,50000.0,Source Verified,10+ years,OWN,11.71,10000.0,credit_card, 36 months,B
23,Fully Paid,50000.0,Not Verified,5 years,RENT,11.71,10000.0,debt_consolidation, 36 months,B
24,Charged Off,76000.0,Not Verified,1 year,RENT,11.71,6000.0,major_purchase, 36 months,B
25,Fully Paid,92000.0,Verified,2 years,MORTGAGE,9.91,15000.0,credit_card, 36 months,B
26,Charged Off,60000.0,Not Verified,9 years,RENT,14.27,15000.0,debt_consolidation, 36 months,C
27,Charged Off,50004.0,Not Verified,2 years,RENT,16.77,5000.0,other, 60 months,D
28,Fully Paid,106000.0,Not Verified,10+ years,MORTGAGE,11.71,4000.0,debt_consolidation, 36 months,B
29,Fully Paid,25000.0,Source Verified,< 1 year,RENT,11.71,8500.0,credit_card, 36 months,B
30,Fully Paid,17108.0,Source Verified,7 years,MORTGAGE,7.51,4375.0,debt_consolidation, 36 months,A
31,Fully Paid,75000.0,Verified,5 years,MORTGAGE,7.9,31825.0,debt_consolidation, 36 months,A
32,Fully Paid,29120.0,Verified,2 years,RENT,15.96,10000.0,debt_consolidation, 60 months,C
33,Fully Paid,24044.0,Verified,2 years,RENT,8.9,5000.0,debt_consolidation, 36 months,A
34,Fully Paid,34000.0,Source Verified,7 years,RENT,15.96,7000.0,credit_card, 36 months,C
35,Fully Paid,41000.0,Not Verified,10+ years,RENT,10.65,12400.0,credit_card, 36 months,B
36,Fully Paid,55596.0,Source Verified,2 years,RENT,9.91,10800.0,moving, 36 months,B
37,Fully Paid,45000.0,Verified,1 year,RENT,7.9,15000.0,debt_consolidation, 36 months,A
38,Fully Paid,36852.0,Source Verified,1 year,RENT,12.42,6000.0,debt_consolidation, 36 months,B
39,Fully Paid,27000.0,Verified,1 year,RENT,12.69,12500.0,debt_consolidation, 60 months,B
40,Fully Paid,68004.0,Source Verified,4 years,RENT,7.51,9600.0,other, 36 months,A
41,Fully Paid,62300.0,Not Verified,10+ years,RENT,7.9,12000.0,debt_consolidation, 36 months,A
