Sales;TV;Radio;Newspaper;Web;Price;Discount;Distribution;Seasonality_Index
14,90;285,68;8,07;23,30;54,76;22,92;5,99;60,76;0,86
12,06;146,88;7,00;24,31;150,82;24,16;10,41;62,28;1,13
21,87;231,21;35,45;61,05;169,97;25,76;3,49;60,80;0,99
26,46;247,03;38,93;85,99;319,98;21,07;10,76;74,38;0,87
1,50;0,70;4,68;40,42;4,00;19,36;7,15;39,69;1,12
12,50;86,36;19,35;29,39;163,99;13,60;8,19;53,50;1,00
17,16;288,30;13,48;1,31;129,91;21,80;12,21;59,71;0,93
13,80;51,81;27,80;27,02;215,53;16,57;3,77;67,78;0,89
13,85;279,90;15,45;15,11;45,66;21,03;0,00;57,28;0,84
9,52;3,45;24,52;59,15;72,90;13,71;9,01;52,85;0,87
12,69;229,23;18,91;15,81;120,19;22,33;10,10;65,06;0,91
16,82;124,70;48,60;65,12;122,93;15,24;7,48;59,86;1,00
16,94;140,39;17,26;30,75;250,98;20,71;11,03;68,94;0,78
15,55;155,49;41,65;58,82;41,63;17,00;8,90;35,00;0,84
14,21;196,32;24,36;19,18;78,00;17,98;3,56;50,80;1,19
7,06;105,53;9,12;47,85;81,71;23,82;3,48;51,86;0,91
10,16;7,34;39,47;20,02;185,47;20,33;9,75;57,76;0,99
7,58;27,44;22,83;27,86;202,38;22,51;12,01;45,61;0,78
18,54;232,21;44,32;37,19;185,22;26,45;5,17;70,55;1,09
20,84;194,50;49,84;52,94;144,46;18,81;7,94;56,76;1,19
13,13;107,37;40,67;64,67;105,32;25,25;6,68;56,64;1,04
11,94;137,54;0,00;27,01;108,23;15,45;7,63;57,23;0,99
15,14;96,71;49,98;35,53;53,31;22,19;6,79;54,77;1,00
10,91;56,82;11,69;31,53;210,70;17,67;6,71;68,41;0,95
11,21;67,79;4,80;0,30;272,08;15,84;13,98;70,45;0,87
18,13;184,76;22,08;10,96;250,25;22,38;7,89;79,48;0,98
11,86;67,08;35,34;18,67;248,77;22,16;9,19;62,63;0,84
11,31;179,08;6,39;35,46;193,33;23,72;2,52;87,70;0,88
11,82;143,63;20,12;15,33;79,26;20,69;3,79;46,66;1,09
